[조회 기준일: 2026-05-07 / 당일(26.05.07) 컬럼 우선 파싱]

=== Foreign Buy Top (KOSPI) [26.05.07] ===
두산로보틱스 (454910) | 수량(천주): 4,105 | 금액(백만원): 389,717
두산에너빌리티 (034020) | 수량(천주): 1,005 | 금액(백만원): 136,444
SKC (011790) | 수량(천주): 303 | 금액(백만원): 47,980
KB금융 (105560) | 수량(천주): 261 | 금액(백만원): 41,990
POSCO홀딩스 (005490) | 수량(천주): 78 | 금액(백만원): 41,098
셀트리온 (068270) | 수량(천주): 188 | 금액(백만원): 38,152
삼성E&A (028050) | 수량(천주): 593 | 금액(백만원): 37,767
삼성화재 (000810) | 수량(천주): 72 | 금액(백만원): 35,359
TIGER 미국나스닥100타겟데일리커버드콜 (486290) | 수량(천주): 1,948 | 금액(백만원): 22,038
대한항공 (003490) | 수량(천주): 833 | 금액(백만원): 21,959

=== Foreign Buy Top (KOSDAQ) [26.05.07] ===
대한광통신 (010170) | 수량(천주): 3,534 | 금액(백만원): 72,530
서진시스템 (178320) | 수량(천주): 666 | 금액(백만원): 44,737
오이솔루션 (138080) | 수량(천주): 630 | 금액(백만원): 34,474
심텍 (222800) | 수량(천주): 326 | 금액(백만원): 34,188
에코프로비엠 (247540) | 수량(천주): 126 | 금액(백만원): 29,803
파두 (440110) | 수량(천주): 292 | 금액(백만원): 23,748
코오롱티슈진 (950160) | 수량(천주): 186 | 금액(백만원): 21,757
원익IPS (240810) | 수량(천주): 148 | 금액(백만원): 19,147
에코프로 (086520) | 수량(천주): 102 | 금액(백만원): 16,684
유진테크 (084370) | 수량(천주): 75 | 금액(백만원): 10,996

=== Institution Buy Top (KOSPI) [26.05.07] ===
SK하이닉스 (000660) | 수량(천주): 292 | 금액(백만원): 474,827
삼성전자 (005930) | 수량(천주): 639 | 금액(백만원): 166,664
SK스퀘어 (402340) | 수량(천주): 125 | 금액(백만원): 135,886
HD현대중공업 (329180) | 수량(천주): 136 | 금액(백만원): 93,574
한미반도체 (042700) | 수량(천주): 165 | 금액(백만원): 64,084
삼성전자우 (005935) | 수량(천주): 340 | 금액(백만원): 62,981
삼성물산 (028260) | 수량(천주): 139 | 금액(백만원): 53,862
삼성전기 (009150) | 수량(천주): 52 | 금액(백만원): 47,162
두산에너빌리티 (034020) | 수량(천주): 293 | 금액(백만원): 39,701
대한항공 (003490) | 수량(천주): 1,398 | 금액(백만원): 36,745

=== Volume Quant Top (KOSPI) [2026-05-07] ===
KODEX 200선물인버스2X (252670) | 현재가: 124 | 거래량: 6,541,387,026
KODEX 인버스 (114800) | 현재가: 1,156 | 거래량: 654,119,654
TIGER 200선물인버스2X (252710) | 현재가: 133 | 거래량: 112,178,920
삼성 인버스 2X WTI원유 선물 ETN (530036) | 현재가: 19 | 거래량: 88,288,709
수산세보틱스 (017550) | 현재가: 3,860 | 거래량: 56,258,492
KODEX 2차전지산업레버리지 (462330) | 현재가: 2,975 | 거래량: 55,563,361
한온시스템 (018880) | 현재가: 4,900 | 거래량: 41,713,029
삼성전자 (005930) | 현재가: 271,500 | 거래량: 40,551,870
KODEX 코스닥150레버리지 (233740) | 현재가: 16,885 | 거래량: 37,751,295
KODEX 미국S&P500 (379800) | 현재가: 24,200 | 거래량: 31,969,279
