코드,종목명,ROE(%),영업이익률(%),부채비율(%),PER(배),PBR(배),BPS,EPS성장(%),통과항목,미통과
000660,SK하이닉스,44.15,48.59,45.95,11.04,3.73,174538.0,116.9,4,PBR 3.73 (기준 2 이하)
042700,한미반도체,34.76,43.59,17.82,57.05,17.51,7278.0,42.0,4,PBR 17.51 (기준 2 이하)
059090,미코,27.23,10.34,228.63,15.16,3.66,3658.0,62.9,3,부채비율 200% 이하 | PBR 3.66 (기준 2 이하)
058470,리노공업,22.45,47.51,8.3,30.24,6.26,9635.0,34.2,4,PBR 6.26 (기준 2 이하)
101490,에스앤에스텍,21.24,20.67,29.18,17.77,3.32,14549.0,91.3,4,PBR 3.32 (기준 2 이하)
089890,코세스,19.58,21.11,24.65,27.32,4.69,4635.0,,3,매출 우상향 | EPS성장 데이터 없음 | PBR 4.69 (기준 2 이하)
031980,피에스케이홀딩스,19.55,35.33,15.5,10.89,1.97,23484.0,-4.3,3,매출 우상향 | EPS성장 -4.3% (기준 10%↑)
093520,매커스,19.3,12.8,86.37,14.58,1.52,14459.0,21.4,4,없음
425420,티에프이,19.3,17.05,31.54,23.13,3.87,9411.0,1129.7,3,매출 우상향 | PBR 3.87 (기준 2 이하)
183300,코미코,18.52,18.37,178.59,18.55,3.3,26808.0,-10.7,4,EPS성장 -10.7% (기준 10%↑) | PBR 3.3 (기준 2 이하)
089970,브이엠,17.34,17.09,40.37,29.68,4.43,6824.0,,4,EPS성장 데이터 없음 | PBR 4.43 (기준 2 이하)
083450,GST,16.15,17.04,26.8,11.74,1.71,16848.0,0.8,4,EPS성장 0.8% (기준 10%↑)
356860,티엘비,15.99,10.04,95.41,30.87,4.61,12972.0,426.4,4,PBR 4.61 (기준 2 이하)
095610,테스,15.76,16.47,24.43,15.44,2.02,22090.0,33.7,4,PBR 2.02 (기준 2 이하)
319660,피에스케이,15.54,19.36,19.84,13.61,1.98,18606.0,-0.7,4,EPS성장 -0.7% (기준 10%↑)
053610,프로텍,14.59,20.09,25.06,7.89,0.88,38739.0,119.7,3,ROE 15% 이상
114810,한솔아이원스,14.49,16.76,20.97,12.11,1.57,7613.0,-7.1,3,ROE 15% 이상 | EPS성장 -7.1% (기준 10%↑)
064760,티씨케이,13.5,27.84,9.3,23.71,3.06,46452.0,-2.8,3,ROE 15% 이상 | EPS성장 -2.8% (기준 10%↑) | PBR 3.06 (기준 2 이하)
102710,이엔에프테크놀로지,12.29,11.64,66.47,12.93,1.5,31327.0,66.9,3,ROE 15% 이상
005930,삼성전자,10.85,13.07,29.94,18.27,1.87,63997.0,32.6,3,ROE 15% 이상
